Soilcolor,Ph,K,P,N,Zn,S,Humidity_Winter,Humidity_Spring,Humidity_Summer,Humidity_Autumn,TempMax_Winter,TempMax_Spring,TempMax_Summer,TempMax_Autumn,TempMin_Winter,TempMin_Spring,TempMin_Summer,TempMin_Autumn,Rainfall_Winter,Rainfall_Spring,Rainfall_Summer,Rainfall_Autumn,WindDir_10m,SoilMoisture_Top,CloudCover,WindSpeed_2m,SurfacePressure,Crop_Label,Seasonal Average (TempMax),Seasonal Average (TempMin),Unnamed: 31,Soil_Fertility_Index,Macro_to_Micro,Humidity_Avg,Rainfall_Avg,TempRange_Winter,TempRange_Spring,TempRange_Summer,TempRange_Autumn,TempMax_Avg,TempMin_Avg,Rainfall_Temp_Ratio
0.545,0.360,0.335,0.007,0.329,0.063,0.116,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.247,0.202,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.545,0.269,0.272,0.013,0.329,0.066,0.138,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.202,0.142,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.614,0.264,0.166,0.009,0.329,0.143,0.140,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.122,0.071,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.864,0.321,0.080,0.004,0.329,0.008,0.136,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.057,0.049,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.864,0.231,0.133,0.050,0.329,0.058,0.106,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.109,0.100,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.614,0.181,0.052,0.011,0.329,0.097,0.150,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.038,0.022,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.864,0.302,0.126,0.003,0.329,0.029,0.094,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.091,0.103,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.614,0.214,0.163,0.039,0.329,0.037,0.118,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.128,0.113,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.864,0.248,0.173,0.008,0.329,0.051,0.110,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.127,0.114,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.773,0.393,0.089,0.035,0.329,0.008,0.144,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.073,0.058,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.864,0.279,0.085,0.001,0.329,0.014,0.100,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.060,0.070,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.614,0.507,0.181,0.060,0.329,0.024,0.130,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.147,0.123,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.864,0.419,0.052,0.002,0.329,0.014,0.096,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.036,0.047,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.614,0.310,0.184,0.005,0.329,0.044,0.103,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.134,0.131,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
