Farm_ID,Crop_Type,Farm_Area(Acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters),Fertilizer_Efficiency,Water_Productivity,Yield_per_Acre,Fertilizer_Efficiency_New,Pesticide_Efficiency,Water_Efficiency,Fertilizer_per_Acre,Pesticide_per_Acre,Water_per_Acre
F001,0.222222222,0.67,1,0.81,0.43,0.24,0.25,0,0.80,0.02,0.02,0.01,0.05,0.11,0.02,0.04,0.03,0.06
F002,0.111111111,0.01,0.5,0.45,0.87,0.88,0.5,0,0.71,0.19,0.10,0.75,0.37,0.22,0.10,0.40,1.00,1.00
F003,0.777777778,0.62,0.25,0.25,0.09,0.67,1,0,0.78,0.24,0.07,0.03,0.43,0.61,0.07,0.01,0.01,0.07
F004,0.888888889,0.78,0.75,0.30,0.87,0.68,1,1,0.44,0.21,0.12,0.03,0.39,0.17,0.12,0.01,0.05,0.03
F005,0.888888889,0.26,1,0.83,0.89,0.89,0,1,0.99,0.10,0.07,0.10,0.21,0.21,0.07,0.10,0.15,0.19
F006,0.777777778,0.00,1,0.63,0.44,0.78,0.25,1,0.46,0.12,0.14,1.00,0.24,0.33,0.14,0.80,0.75,0.99
F007,0.666666667,0.74,0,0.14,0.46,0.93,0.75,0.5,0.39,0.54,0.19,0.04,0.82,0.37,0.19,0.01,0.03,0.03
F008,0.555555556,0.96,0,0.49,0.16,0.01,1,0,0.04,0.00,0.07,0.00,0.00,0.05,0.07,0.02,0.01,0.00
F009,0.333333333,0.80,0,0.01,0.99,0.00,0.5,0.5,0.61,0.13,0.00,0.00,0.10,0.00,0.00,0.00,0.06,0.04
F010,0.666666667,0.36,0,0.18,0.52,0.30,0.75,0,0.96,0.16,0.02,0.03,0.26,0.12,0.02,0.02,0.06,0.14
F011,0.555555556,0.57,0,0.79,0.23,0.66,0,1,0.00,0.07,1.00,0.04,0.16,0.41,1.00,0.05,0.02,0.00
F012,0.777777778,0.28,0.25,0.27,0.44,0.10,0,0,0.93,0.04,0.01,0.02,0.07,0.05,0.00,0.03,0.07,0.17
F013,1,0.67,0,0.50,0.14,0.04,0,1,0.45,0.00,0.01,0.00,0.01,0.07,0.01,0.02,0.01,0.03
F014,0.555555556,0.50,0.25,0.05,0.68,0.17,0.75,0.5,0.74,0.24,0.02,0.01,0.27,0.06,0.02,0.00,0.06,0.08
F015,0.777777778,0.62,0.75,0.52,0.41,0.56,0.5,0,0.31,0.10,0.14,0.03,0.21,0.25,0.14,0.03,0.03,0.03
F016,0,0.10,0.25,0.18,0.04,0.28,0.75,1,0.22,0.15,0.10,0.08,0.24,0.33,0.10,0.06,0.02,0.11
F017,0.111111111,0.58,0.5,0.57,0.14,0.99,0.25,1,0.93,0.16,0.09,0.05,0.34,0.76,0.09,0.03,0.01,0.08
